,period,region,technology,cost
0,1975,SSA,Cycle,0.0832580047565258
1,1975,MEA,Cycle,0.219237842712166
2,1990,SSA,Cycle,0.0782601055429498
3,1990,MEA,Cycle,0.16573697502843598
4,2005,SSA,Cycle,0.0856546808268454
5,2005,MEA,Cycle,0.210384052049851
6,2010,SSA,Cycle,0.0904711689582281
7,2010,MEA,Cycle,0.24976965858242803
8,2015,SSA,Cycle,0.10064480719323801
9,2015,MEA,Cycle,0.28913002669434196
10,2020,SSA,Cycle,0.127639482245711
11,2020,MEA,Cycle,0.32028272429659105
12,2025,SSA,Cycle,0.146311793452014
13,2025,MEA,Cycle,0.355364902623747
14,2030,SSA,Cycle,0.164941135714479
15,2030,MEA,Cycle,0.39541944720740707
16,2035,SSA,Cycle,0.18436154107935898
17,2035,MEA,Cycle,0.435970668381066
18,2040,SSA,Cycle,0.20592680187177498
19,2040,MEA,Cycle,0.47820317613019303
20,2045,SSA,Cycle,0.23082949736015498
21,2045,MEA,Cycle,0.521120275651535
22,2050,SSA,Cycle,0.26073901549399897
23,2050,MEA,Cycle,0.5652381359996059
24,2055,SSA,Cycle,0.297322645993222
25,2055,MEA,Cycle,0.614925694275407
26,2060,SSA,Cycle,0.343643310534048
27,2060,MEA,Cycle,0.671404913285107
28,2065,SSA,Cycle,0.40049214535341904
29,2065,MEA,Cycle,0.735003432777552
30,2070,SSA,Cycle,0.46889921609396995
31,2070,MEA,Cycle,0.801092814624985
32,2075,SSA,Cycle,0.5498081500380311
33,2075,MEA,Cycle,0.8717043125138392
34,2080,SSA,Cycle,0.643740968342715
35,2080,MEA,Cycle,0.947846548148455
36,2085,SSA,Cycle,0.751226732294647
37,2085,MEA,Cycle,1.02374662310644
38,2090,SSA,Cycle,0.872947642611051
39,2090,MEA,Cycle,1.10545067802986
40,2095,SSA,Cycle,1.00871681646718
41,2095,MEA,Cycle,1.19283525822886
42,2100,SSA,Cycle,1.1511610116814
43,2100,MEA,Cycle,1.28537051052452
44,1975,LAM,Cycle,0.21567040133758197
45,1990,LAM,Cycle,0.23738425469211802
46,2005,LAM,Cycle,0.292594387368878
47,2010,LAM,Cycle,0.32065980302568103
48,2015,LAM,Cycle,0.36763611687924497
49,2020,LAM,Cycle,0.42315406421159
50,2025,LAM,Cycle,0.47750780985105606
51,2030,LAM,Cycle,0.533491621249073
52,2035,LAM,Cycle,0.5921232957519009
53,2040,LAM,Cycle,0.65563761353494
54,2045,LAM,Cycle,0.7247945325171969
55,2050,LAM,Cycle,0.800962086141336
56,2055,LAM,Cycle,0.884534115761154
57,2060,LAM,Cycle,0.971486372476903
58,2065,LAM,Cycle,1.06535051966501
59,2070,LAM,Cycle,1.1591530949776299
60,2075,LAM,Cycle,1.26040373222934
61,2080,LAM,Cycle,1.3669976716903898
62,2085,LAM,Cycle,1.48053510003751
63,2090,LAM,Cycle,1.60130447162041
64,2095,LAM,Cycle,1.7291953057174299
65,2100,LAM,Cycle,1.86373040427418
66,1975,CAZ,Cycle,0.891929597610773
67,1990,CAZ,Cycle,1.15449651192504
68,2005,CAZ,Cycle,1.54923423867185
69,2010,CAZ,Cycle,1.60123655204682
70,2015,CAZ,Cycle,1.7415078350121298
71,2020,CAZ,Cycle,2.10344993452555
72,2025,CAZ,Cycle,2.20267069263049
73,2030,CAZ,Cycle,2.29608814022934
74,2035,CAZ,Cycle,2.3965632036708
75,2040,CAZ,Cycle,2.50402466014177
76,2045,CAZ,Cycle,2.61319274369502
77,2050,CAZ,Cycle,2.71322074111962
78,2055,CAZ,Cycle,2.8195941867687595
79,2060,CAZ,Cycle,2.9416053843664303
80,2065,CAZ,Cycle,3.08587445481619
81,2070,CAZ,Cycle,3.2459905580274397
82,2075,CAZ,Cycle,3.4117462326739
83,2080,CAZ,Cycle,3.5855538060955
84,2085,CAZ,Cycle,3.7657204114872096
85,2090,CAZ,Cycle,3.9579363222860895
86,2095,CAZ,Cycle,4.1704154387387
87,2100,CAZ,Cycle,4.4046453909934
88,1975,REF,Cycle,0.22220092787045198
89,1975,OAS,Cycle,0.0433479619237003
90,1990,REF,Cycle,0.257781155271602
91,1990,OAS,Cycle,0.110690133707764
92,2005,REF,Cycle,0.239458378953332
93,2005,OAS,Cycle,0.223118034070711
94,2010,REF,Cycle,0.284327942844166
95,2010,OAS,Cycle,0.25491554290789803
96,2015,REF,Cycle,0.336301553694146
97,2015,OAS,Cycle,0.29871243653743
98,2020,REF,Cycle,0.4076856980523
99,2020,OAS,Cycle,0.376563326497443
100,2025,REF,Cycle,0.48680290643519103
101,2025,OAS,Cycle,0.42383707038364
102,2030,REF,Cycle,0.5731142807570689
103,2030,OAS,Cycle,0.467030090305281
104,2035,REF,Cycle,0.658690412216946
105,2035,OAS,Cycle,0.507357652996338
106,2040,REF,Cycle,0.7381275450837691
107,2040,OAS,Cycle,0.546635391159632
108,2045,REF,Cycle,0.8068369306995401
109,2045,OAS,Cycle,0.587247679796695
110,2050,REF,Cycle,0.867415764287617
111,2050,OAS,Cycle,0.6293894966122829
112,2055,REF,Cycle,0.9183128914133921
113,2055,OAS,Cycle,0.673700378355909
114,2060,REF,Cycle,0.9850742510622009
115,2060,OAS,Cycle,0.7183349894126808
116,2065,REF,Cycle,1.0573065268478399
117,2065,OAS,Cycle,0.7663447435083441
118,2070,REF,Cycle,1.13068253763871
119,2070,OAS,Cycle,0.8172686879158408
120,2075,REF,Cycle,1.19810413322893
121,2075,OAS,Cycle,0.8715367311382229
122,2080,REF,Cycle,1.2632832552803601
123,2080,OAS,Cycle,0.928412262188244
124,2085,REF,Cycle,1.33022002751355
125,2085,OAS,Cycle,0.9894956436854699
126,2090,REF,Cycle,1.4011357438468
127,2090,OAS,Cycle,1.0546266472966999
128,2095,REF,Cycle,1.47574262211602
129,2095,OAS,Cycle,1.12387143801039
130,2100,REF,Cycle,1.5508068868776297
131,2100,OAS,Cycle,1.19720954855133
132,1975,CHA,Cycle,0.0180015155200421
133,1990,CHA,Cycle,0.0498100537937172
134,2005,CHA,Cycle,0.11806741657979801
135,2010,CHA,Cycle,0.16825564001495
136,2015,CHA,Cycle,0.23865934998116398
137,2020,CHA,Cycle,0.34613488732791603
138,2025,CHA,Cycle,0.459347593334952
139,2030,CHA,Cycle,0.570241226409109
140,2035,CHA,Cycle,0.6744847894975041
141,2040,CHA,Cycle,0.779710803015977
142,2045,CHA,Cycle,0.868282219608424
143,2050,CHA,Cycle,0.9498192404608241
144,2055,CHA,Cycle,1.02213359775922
145,2060,CHA,Cycle,1.0957995193725798
146,2065,CHA,Cycle,1.17217281207507
147,2070,CHA,Cycle,1.2486583958856399
148,2075,CHA,Cycle,1.3230263001123899
149,2080,CHA,Cycle,1.39955130074009
150,2085,CHA,Cycle,1.47484439538856
151,2090,CHA,Cycle,1.54950405533299
152,2095,CHA,Cycle,1.6227516643184998
153,2100,CHA,Cycle,1.69479022784386
154,1975,EUR,Cycle,0.61960812540672
155,1990,EUR,Cycle,0.8783343217491479
156,2005,EUR,Cycle,1.13106443384885
157,2010,EUR,Cycle,1.1393592901371399
158,2015,EUR,Cycle,1.2350363499328
159,2020,EUR,Cycle,1.4626786949407
160,2025,EUR,Cycle,1.53012889949285
161,2030,EUR,Cycle,1.6032021487816799
162,2035,EUR,Cycle,1.6866855083128798
163,2040,EUR,Cycle,1.78427267092601
164,2045,EUR,Cycle,1.8897401983592201
165,2050,EUR,Cycle,1.9996489999053402
166,2055,EUR,Cycle,2.1228174820912797
167,2060,EUR,Cycle,2.2607236049967003
168,2065,EUR,Cycle,2.41167985698287
169,2070,EUR,Cycle,2.5689934418127502
170,2075,EUR,Cycle,2.72830791651836
171,2080,EUR,Cycle,2.89262254473817
172,2085,EUR,Cycle,3.06234446734891
173,2090,EUR,Cycle,3.24073094892402
174,2095,EUR,Cycle,3.4295355503429596
175,2100,EUR,Cycle,3.63010743035151
176,1975,NEU,Cycle,0.7867430741060292
177,1990,NEU,Cycle,0.928009866999242
178,2005,NEU,Cycle,1.08249940621575
179,2010,NEU,Cycle,1.10137618345093
180,2015,NEU,Cycle,1.1583592208943898
181,2020,NEU,Cycle,1.30353262460229
182,2025,NEU,Cycle,1.3094045998014399
183,2030,NEU,Cycle,1.3308919164811102
184,2035,NEU,Cycle,1.3687156649392598
185,2040,NEU,Cycle,1.4255456274699398
186,2045,NEU,Cycle,1.49950811405486
187,2050,NEU,Cycle,1.5910673868549299
188,2055,NEU,Cycle,1.6909453344006202
189,2060,NEU,Cycle,1.80180896998285
190,2065,NEU,Cycle,1.92550905572531
191,2070,NEU,Cycle,2.0603274291037197
192,2075,NEU,Cycle,2.2018046470701
193,2080,NEU,Cycle,2.3505910046183702
194,2085,NEU,Cycle,2.5049425026576
195,2090,NEU,Cycle,2.66442064128066
196,2095,NEU,Cycle,2.83028035844747
197,2100,NEU,Cycle,3.00475720111588
198,1975,IND,Cycle,0.0130378018680387
199,1990,IND,Cycle,0.019389717511421004
200,2005,IND,Cycle,0.0352943453032552
201,2010,IND,Cycle,0.0486093751267472
202,2015,IND,Cycle,0.0659427388629401
203,2020,IND,Cycle,0.0826193015304222
204,2025,IND,Cycle,0.10298525926419999
205,2030,IND,Cycle,0.125786292018896
206,2035,IND,Cycle,0.151005693614332
207,2040,IND,Cycle,0.179486561531207
208,2045,IND,Cycle,0.21083062117652498
209,2050,IND,Cycle,0.245178967249813
210,2055,IND,Cycle,0.28392776733396
211,2060,IND,Cycle,0.326918297785312
212,2065,IND,Cycle,0.3741251314544001
213,2070,IND,Cycle,0.42496762966629
214,2075,IND,Cycle,0.47938933493314795
215,2080,IND,Cycle,0.532320498567681
216,2085,IND,Cycle,0.5881812945238609
217,2090,IND,Cycle,0.6469957477916329
218,2095,IND,Cycle,0.708962099485163
219,2100,IND,Cycle,0.772685772696047
220,1975,JPN,Cycle,0.7279164089031941
221,1990,JPN,Cycle,1.2342427377077299
222,2005,JPN,Cycle,1.4269234460508897
223,2010,JPN,Cycle,1.4360931080388897
224,2015,JPN,Cycle,1.58493830317218
225,2020,JPN,Cycle,1.8686950875956598
226,2025,JPN,Cycle,1.9651041284914899
227,2030,JPN,Cycle,2.06478614129176
228,2035,JPN,Cycle,2.15029416440999
229,2040,JPN,Cycle,2.22860883372766
230,2045,JPN,Cycle,2.31853367563801
231,2050,JPN,Cycle,2.4125602405511497
232,2055,JPN,Cycle,2.5335944323388704
233,2060,JPN,Cycle,2.66850487785894
234,2065,JPN,Cycle,2.81517525763938
235,2070,JPN,Cycle,2.9734571196729
236,2075,JPN,Cycle,3.1381517076680696
237,2080,JPN,Cycle,3.30926434984226
238,2085,JPN,Cycle,3.49787608242416
239,2090,JPN,Cycle,3.70297200267717
240,2095,JPN,Cycle,3.9228868433039303
241,2100,JPN,Cycle,4.156430826258459
242,1975,USA,Cycle,0.8322536568647749
243,1990,USA,Cycle,1.1814307330574398
244,2005,USA,Cycle,1.5786585140415799
245,2010,USA,Cycle,1.5687275750812701
246,2015,USA,Cycle,1.7167544815693998
247,2020,USA,Cycle,2.13760005091871
248,2025,USA,Cycle,2.2838185636330497
249,2030,USA,Cycle,2.40025053025266
250,2035,USA,Cycle,2.49449289498336
251,2040,USA,Cycle,2.5766350679087795
252,2045,USA,Cycle,2.64876998568793
253,2050,USA,Cycle,2.7068771979758197
254,2055,USA,Cycle,2.76509054223583
255,2060,USA,Cycle,2.82506032660146
256,2065,USA,Cycle,2.89058165108452
257,2070,USA,Cycle,2.9525370575091703
258,2075,USA,Cycle,3.0124381162715603
259,2080,USA,Cycle,3.0793162166501804
260,2085,USA,Cycle,3.1466936782097403
261,2090,USA,Cycle,3.2149966535522205
262,2095,USA,Cycle,3.2850427610628996
263,2100,USA,Cycle,3.35741412679057
264,1975,SSA,Walk,0.260181264864143
265,1975,MEA,Walk,0.685118258475519
266,1990,SSA,Walk,0.244562829821718
267,1990,MEA,Walk,0.517928046963863
268,2005,SSA,Walk,0.267670877583892
269,2005,MEA,Walk,0.6574501626557829
270,2010,SSA,Walk,0.282722402994463
271,2010,MEA,Walk,0.780530183070089
272,2015,SSA,Walk,0.314515022478869
273,2015,MEA,Walk,0.9035313334198171
274,2020,SSA,Walk,0.39887338201784606
275,2020,MEA,Walk,1.00088351342685
276,2025,SSA,Walk,0.457224354537545
277,2025,MEA,Walk,1.11051532069921
278,2030,SSA,Walk,0.515441049107747
279,2030,MEA,Walk,1.2356857725231498
280,2035,SSA,Walk,0.5761298158729979
281,2035,MEA,Walk,1.3624083386908301
282,2040,SSA,Walk,0.643521255849297
283,2040,MEA,Walk,1.49438492540685
284,2045,SSA,Walk,0.7213421792504839
285,2045,MEA,Walk,1.6285008614110499
286,2050,SSA,Walk,0.8148094234187471
287,2050,MEA,Walk,1.76636917499877
288,2055,SSA,Walk,0.92913326872882
289,2055,MEA,Walk,1.92164279461065
290,2060,SSA,Walk,1.0738853454189
291,2060,MEA,Walk,2.09814035401596
292,2065,SSA,Walk,1.25153795422944
293,2065,MEA,Walk,2.29688572742985
294,2070,SSA,Walk,1.4653100502936598
295,2070,MEA,Walk,2.50341504570308
296,2075,SSA,Walk,1.7181504688688503
297,2075,MEA,Walk,2.7240759766057496
298,2080,SSA,Walk,2.01169052607098
299,2080,MEA,Walk,2.9620204629639195
300,2085,SSA,Walk,2.3475835384207704
301,2085,MEA,Walk,3.19920819720763
302,2090,SSA,Walk,2.7279613831595295
303,2090,MEA,Walk,3.4545333688432995
304,2095,SSA,Walk,3.15224005145993
305,2095,MEA,Walk,3.72761018196518
306,2100,SSA,Walk,3.59737816150437
307,2100,MEA,Walk,4.01678284538911
308,1975,LAM,Walk,0.6739700041799439
309,1990,LAM,Walk,0.741825795912869
310,2005,LAM,Walk,0.914357460527745
311,2010,LAM,Walk,1.00206188445525
312,2015,LAM,Walk,1.1488628652476398
313,2020,LAM,Walk,1.32235645066122
314,2025,LAM,Walk,1.49221190578455
315,2030,LAM,Walk,1.6671613164033503
316,2035,LAM,Walk,1.8503852992246899
317,2040,LAM,Walk,2.04886754229669
318,2045,LAM,Walk,2.2649829141162403
319,2050,LAM,Walk,2.5030065191916804
320,2055,LAM,Walk,2.76416911175361
321,2060,LAM,Walk,3.03589491399032
322,2065,LAM,Walk,3.32922037395316
323,2070,LAM,Walk,3.62235342180511
324,2075,LAM,Walk,3.93876166321669
325,2080,LAM,Walk,4.27186772403247
326,2085,LAM,Walk,4.6266721876172
327,2090,LAM,Walk,5.004076473813799
328,2095,LAM,Walk,5.40373533036696
329,2100,LAM,Walk,5.82415751335681
330,1975,CAZ,Walk,2.78727999253367
331,1990,CAZ,Walk,3.60780159976574
332,2005,CAZ,Walk,4.84135699584953
333,2010,CAZ,Walk,5.00386422514632
334,2015,CAZ,Walk,5.44221198441291
335,2020,CAZ,Walk,6.57328104539233
336,2025,CAZ,Walk,6.8833459144703
337,2030,CAZ,Walk,7.1752754382167
338,2035,CAZ,Walk,7.489260011471259
339,2040,CAZ,Walk,7.825077062943031
340,2045,CAZ,Walk,8.16622732404692
341,2050,CAZ,Walk,8.47881481599881
342,2055,CAZ,Walk,8.81123183365238
343,2060,CAZ,Walk,9.19251682614511
344,2065,CAZ,Walk,9.643357671300599
345,2070,CAZ,Walk,10.1437204938357
346,2075,CAZ,Walk,10.661706977106
347,2080,CAZ,Walk,11.2048556440484
348,2085,CAZ,Walk,11.7678762858975
349,2090,CAZ,Walk,12.368551007144001
350,2095,CAZ,Walk,13.0325482460585
351,2100,CAZ,Walk,13.7645168468544
352,1975,REF,Walk,0.6943778995951619
353,1975,OAS,Walk,0.135462381011563
354,1990,REF,Walk,0.805566110223757
355,1990,OAS,Walk,0.34590666783676094
356,2005,REF,Walk,0.7483074342291641
357,2005,OAS,Walk,0.6972438564709731
358,2010,REF,Walk,0.888524821388018
359,2010,OAS,Walk,0.7966110715871809
360,2015,REF,Walk,1.05094235529421
361,2015,OAS,Walk,0.93347636417947
362,2020,REF,Walk,1.27401780641344
363,2020,OAS,Walk,1.17676039530451
364,2025,REF,Walk,1.52125908260997
365,2025,OAS,Walk,1.3244908449488701
366,2030,REF,Walk,1.7909821273658402
367,2030,OAS,Walk,1.459469032204
368,2035,REF,Walk,2.05840753817795
369,2035,OAS,Walk,1.5854926656135602
370,2040,REF,Walk,2.30664857838678
371,2040,OAS,Walk,1.7082355973738501
372,2045,REF,Walk,2.52136540843606
373,2045,OAS,Walk,1.83514899936467
374,2050,REF,Walk,2.7106742633987997
375,2050,OAS,Walk,1.96684217691339
376,2055,REF,Walk,2.8697277856668504
377,2055,OAS,Walk,2.10531368236221
378,2060,REF,Walk,3.07835703456938
379,2060,OAS,Walk,2.24479684191463
380,2065,REF,Walk,3.3040828963994997
381,2065,OAS,Walk,2.39482732346357
382,2070,REF,Walk,3.53338293012096
383,2070,OAS,Walk,2.553964649737
384,2075,REF,Walk,3.7440754163403898
385,2075,OAS,Walk,2.72355228480695
386,2080,REF,Walk,3.9477601727511202
387,2080,OAS,Walk,2.9012883193382595
388,2085,REF,Walk,4.15693758597983
389,2085,OAS,Walk,3.09217388651709
390,2090,REF,Walk,4.37854919952124
391,2090,OAS,Walk,3.2957082728022002
392,2095,REF,Walk,4.61169569411255
393,2095,OAS,Walk,3.51209824378248
394,2100,REF,Walk,4.846271521492589
395,2100,OAS,Walk,3.7412798392228996
396,1975,CHA,Walk,0.0562547360001316
397,1990,CHA,Walk,0.155656418105366
398,2005,CHA,Walk,0.36896067681186995
399,2010,CHA,Walk,0.52579887504672
400,2015,CHA,Walk,0.745810468691136
401,2020,CHA,Walk,1.08167152289974
402,2025,CHA,Walk,1.43546122917173
403,2030,CHA,Walk,1.78200383252847
404,2035,CHA,Walk,2.1077649671797
405,2040,CHA,Walk,2.43659625942493
406,2045,CHA,Walk,2.7133819362763303
407,2050,CHA,Walk,2.96818512644008
408,2055,CHA,Walk,3.19416749299757
409,2060,CHA,Walk,3.4243734980393303
410,2065,CHA,Walk,3.6630400377345897
411,2070,CHA,Walk,3.9020574871426295
412,2075,CHA,Walk,4.13445718785123
413,2080,CHA,Walk,4.37359781481278
414,2085,CHA,Walk,4.60888873558926
415,2090,CHA,Walk,4.84220017291561
416,2095,CHA,Walk,5.071098950995331
417,2100,CHA,Walk,5.29621946201205
418,1975,EUR,Walk,1.9362753918959998
419,1990,EUR,Walk,2.74479475546609
420,2005,EUR,Walk,3.53457635577765
421,2010,EUR,Walk,3.56049778167857
422,2015,EUR,Walk,3.8594885935400005
423,2020,EUR,Walk,4.57087092168969
424,2025,EUR,Walk,4.78165281091516
425,2030,EUR,Walk,5.01000671494274
426,2035,EUR,Walk,5.27089221347774
427,2040,EUR,Walk,5.57585209664378
428,2045,EUR,Walk,5.905438119872559
429,2050,EUR,Walk,6.2489031247042
430,2055,EUR,Walk,6.633804631535259
431,2060,EUR,Walk,7.06476126561468
432,2065,EUR,Walk,7.536499553071481
433,2070,EUR,Walk,8.02810450566484
434,2075,EUR,Walk,8.52596223911987
435,2080,EUR,Walk,9.03944545230678
436,2085,EUR,Walk,9.56982646046533
437,2090,EUR,Walk,10.127284215387599
438,2095,EUR,Walk,10.717298594821699
439,2100,EUR,Walk,11.344085719848499
440,1975,NEU,Walk,2.45857210658134
441,1990,NEU,Walk,2.90003083437263
442,2005,NEU,Walk,3.38281064442423
443,2010,NEU,Walk,3.44180057328416
444,2015,NEU,Walk,3.6198725652949704
445,2020,NEU,Walk,4.073539451882151
446,2025,NEU,Walk,4.0918893743795
447,2030,NEU,Walk,4.15903723900348
448,2035,NEU,Walk,4.27723645293518
449,2040,NEU,Walk,4.45483008584355
450,2045,NEU,Walk,4.68596285642144
451,2050,NEU,Walk,4.9720855839216505
452,2055,NEU,Walk,5.28420417000193
453,2060,NEU,Walk,5.630653031196389
454,2065,NEU,Walk,6.01721579914158
455,2070,NEU,Walk,6.4385232159491395
456,2075,NEU,Walk,6.880639522094059
457,2080,NEU,Walk,7.34559688943242
458,2085,NEU,Walk,7.82794532080499
459,2090,NEU,Walk,8.32631450400205
460,2095,NEU,Walk,8.84462612014834
461,2100,NEU,Walk,9.38986625348713
462,1975,IND,Walk,0.0407431308376209
463,1990,IND,Walk,0.0605928672231907
464,2005,IND,Walk,0.110294829072673
465,2010,IND,Walk,0.15190429727108498
466,2015,IND,Walk,0.20607105894668803
467,2020,IND,Walk,0.25818531728256894
468,2025,IND,Walk,0.32182893520062394
469,2030,IND,Walk,0.393082162559051
470,2035,IND,Walk,0.471892792544788
471,2040,IND,Walk,0.560895504785021
472,2045,IND,Walk,0.6588456911766422
473,2050,IND,Walk,0.766184272655665
474,2055,IND,Walk,0.887274272918625
475,2060,IND,Walk,1.0216196805791
476,2065,IND,Walk,1.169141035795
477,2070,IND,Walk,1.32802384270716
478,2075,IND,Walk,1.4980916716660901
479,2080,IND,Walk,1.663501558024
480,2085,IND,Walk,1.8380665453870701
481,2090,IND,Walk,2.02186171184885
482,2095,IND,Walk,2.21550656089114
483,2100,IND,Walk,2.4146430396751497
484,1975,JPN,Walk,2.27473877782248
485,1990,JPN,Walk,3.8570085553366398
486,2005,JPN,Walk,4.4591357689090305
487,2010,JPN,Walk,4.48779096262152
488,2015,JPN,Walk,4.95293219741308
489,2020,JPN,Walk,5.83967214873643
490,2025,JPN,Walk,6.14095040153589
491,2030,JPN,Walk,6.452456691536749
492,2035,JPN,Walk,6.71966926378123
493,2040,JPN,Walk,6.96440260539895
494,2045,JPN,Walk,7.24541773636878
495,2050,JPN,Walk,7.5392507517223395
496,2055,JPN,Walk,7.91748260105896
497,2060,JPN,Walk,8.33907774330918
498,2065,JPN,Walk,8.79742268012307
499,2070,JPN,Walk,9.29205349897781
500,2075,JPN,Walk,9.806724086462712
501,2080,JPN,Walk,10.341451093257
502,2085,JPN,Walk,10.9308627575755
503,2090,JPN,Walk,11.5717875083662
504,2095,JPN,Walk,12.2590213853248
505,2100,JPN,Walk,12.988846332057701
506,1975,USA,Walk,2.60079267770242
507,1990,USA,Walk,3.6919710408045
508,2005,USA,Walk,4.93330785637994
509,2010,USA,Walk,4.902273672128981
510,2015,USA,Walk,5.36485775490437
511,2020,USA,Walk,6.680000159120951
512,2025,USA,Walk,7.136933011353269
513,2030,USA,Walk,7.500782907039571
514,2035,USA,Walk,7.795290296823009
515,2040,USA,Walk,8.05198458721494
516,2045,USA,Walk,8.277406205274769
517,2050,USA,Walk,8.45899124367444
518,2055,USA,Walk,8.64090794448698
519,2060,USA,Walk,8.82831352062958
520,2065,USA,Walk,9.033067659639109
521,2070,USA,Walk,9.22667830471617
522,2075,USA,Walk,9.41386911334863
523,2080,USA,Walk,9.62286317703182
524,2085,USA,Walk,9.833417744405429
525,2090,USA,Walk,10.046864542350699
526,2095,USA,Walk,10.2657586283216
527,2100,USA,Walk,10.4919191462205
