indicator,"'transport, passenger car, fleet average, BEV, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, JPN, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, BEV, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, JPN, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, FCEV, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, JPN, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, ICEV-g, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, JPN, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, PHEV-p, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, JPN, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, HEV-p, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, OAS, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, MEA, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, LAM, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, EUR, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, IND, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, USA, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, CAZ, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, REF, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, SSA, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, NEU, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, CHA, None)","'transport, passenger car, fleet average, ICEV-p, 2030' (kilometer, JPN, None)","'market for transport, passenger train' (person kilometer, GLO, None)","'market for transport, passenger, motor scooter' (person kilometer, GLO, None)","'market for transport, passenger, bicycle' (person kilometer, GLO, None)","'market for transport, passenger, electric bicycle' (person kilometer, GLO, None)","'market for transport, passenger, electric bicycle, label-certified electricity' (person kilometer, GLO, None)","'market for transport, passengers, aircraft, short haul' (person kilometer, GLO, None)","'market for transport, passengers, aircraft, long haul' (person kilometer, GLO, None)","'walking' (pkm, GLO, None)","'transport, passenger bus, battery electric - overnight charging, NCA battery, 18m articulated urban bus, 2020' (passenger-kilometer, CH, None)","'transport, passenger bus, fuel cell electric, 18m articulated urban bus, 2020' (passenger-kilometer, CH, None)","'transport, passenger bus, diesel, 18m articulated urban bus, 2020, EURO-VI' (passenger-kilometer, CH, None)","'transport, passenger bus, compressed gas, 18m articulated urban bus, 2020, EURO-VI' (passenger-kilometer, CH, None)"
human toxicity,8.11175267399751e-08,9.386891248521785e-08,8.974718336434006e-08,7.600402014766064e-08,7.390591642169707e-08,9.168974687275852e-08,6.961150905226502e-08,8.76685113592742e-08,7.825898904924619e-08,7.106693335335409e-08,9.147842191359932e-08,8.122527936564601e-08,8.599584726091956e-08,8.605801793371958e-08,7.632514346248487e-08,8.158356748712787e-08,9.764903817535235e-08,7.74839607286082e-08,7.764623565989212e-08,8.846696540191253e-08,7.04266170612749e-08,8.61068776614712e-08,9.506617864795404e-08,7.088069444681823e-08,4.220974545412603e-08,4.4164913367624026e-08,4.4533118034529864e-08,5.176832286802601e-08,4.073877461465136e-08,4.8372505592723e-08,5.319088490023248e-08,4.225803793201947e-08,4.1823543413760826e-08,4.8712094113502676e-08,3.941909857958888e-08,4.771077164039446e-08,5.791562389464947e-08,5.989777287473245e-08,5.616200403461225e-08,6.227314790866168e-08,6.965137231287943e-08,5.4039310324798726e-08,5.353080809359256e-08,5.9325726637733683e-08,5.983552841300047e-08,6.784601644244697e-08,5.799167014580211e-08,5.944716047186913e-08,4.9779692363280256e-08,4.236278683440352e-08,4.10428566460513e-08,5.018843341819533e-08,4.407501598191751e-08,5.828268418268094e-08,4.71202388019829e-08,4.491821502618511e-08,4.531315232994837e-08,5.0429932776626206e-08,5.712806252482207e-08,4.138943696491117e-08,4.197143574476382e-08,4.0888813541491586e-08,4.3815873413191734e-08,4.776666158086002e-08,3.9740816567470894e-08,5.3885242323959656e-08,5.5616761283008035e-08,4.94630936074912e-08,4.0113251290968424e-08,4.836673195597051e-08,4.310969963458983e-08,4.499095593250735e-08,3.896744053550086e-09,6.244944623523653e-09,1.7528864268381076e-09,1.1973759614838874e-08,1.1817883348298482e-08,9.679361070978677e-09,7.68981460610865e-09,3.616764918444371e-08,2.6804031543294185e-08,2.7690731566053533e-08,1.7998266985692154e-08,1.862148328450225e-08
climate change,7.541513498567087e-10,8.2659148788991e-10,1.3718775007121544e-09,1.058715400045198e-09,1.1724155500751264e-09,1.4198688307693552e-09,9.363552166793571e-10,1.37510002840869e-09,9.840456580780577e-10,7.320134433906507e-10,9.928552345490447e-10,8.26916874081305e-10,1.110615723752595e-09,1.1141462201503556e-09,1.0137663855706783e-09,1.0733781760932547e-09,1.2447005335618262e-09,1.0286890681528917e-09,1.0288910365473225e-09,1.1436911731297897e-09,9.536468054790543e-10,1.1227404230964075e-09,1.214171757734829e-09,9.585057475052542e-10,1.4032470936071613e-09,1.6043169253784024e-09,5.030567897934264e-10,1.6629397196081904e-09,6.207908624641326e-10,1.2804335337726327e-09,1.7726289289303942e-09,1.5619705575712016e-09,1.0921460030370525e-09,3.073443583524099e-10,1.4891146695442214e-09,5.508383893747337e-10,2.011825808330572e-09,1.9044144821912057e-09,1.8119277489685853e-09,2.140645405764501e-09,2.1500330514725668e-09,1.9359204504783356e-09,1.8528159964490563e-09,2.012554440069262e-09,1.9980980679020585e-09,2.112415924012732e-09,2.0237923419340415e-09,1.9572197404203617e-09,1.818040728765739e-09,1.6962078264847245e-09,1.673062870393265e-09,1.9004470418695353e-09,1.7460052601057294e-09,2.1217381536786e-09,1.8381858034517097e-09,1.7769826769895412e-09,1.7115928780743255e-09,1.895659907192627e-09,2.0175167084215217e-09,1.6791504366806566e-09,2.1389177038918645e-09,2.081207834318055e-09,2.099119855397291e-09,2.248086750001768e-09,2.0641091566937163e-09,2.448004576408581e-09,2.5828928356577073e-09,2.3425899508225193e-09,2.0560851018368606e-09,2.352133251638548e-09,2.1911652459002502e-09,2.2532583327978594e-09,2.4821913471258366e-10,8.412044937891984e-10,5.076536592820811e-11,9.507154093884237e-11,8.251323559506406e-11,9.126290866004013e-10,7.606720020912926e-10,4.058167924376393e-10,2.2335283036894504e-10,3.3509465379432386e-10,6.858953001181302e-10,4.1238754933878284e-10
ionising radiation,3.3317600995207527e-10,6.757542523011912e-10,6.000505751783015e-10,4.842587024053664e-10,3.1887825572734567e-10,3.624089330861351e-10,2.2092434179356148e-10,1.0264369687346583e-09,1.028877656176162e-09,2.954071178433737e-10,5.422815121752052e-10,5.79977974096564e-10,1.1121048833042961e-09,1.1203938228074247e-09,1.034261858834488e-09,1.0894986982428217e-09,1.234912119541451e-09,1.0508883494755813e-09,1.0476115808456775e-09,1.1506646506802298e-09,9.861622422075694e-10,1.1300497202228733e-09,1.2046048385777792e-09,9.893750115439637e-10,1.5754101971867507e-10,1.640277775354073e-10,1.553074312738726e-10,1.8540340148301784e-10,1.4541875282383622e-10,1.7330638292255967e-10,1.903123139019773e-10,1.5823475345578006e-10,1.53595220533069e-10,1.629977409096433e-10,1.497958369579306e-10,1.647876884787482e-10,4.242063735179123e-10,4.57746505652093e-10,3.6290834701531825e-10,5.951044233602854e-10,5.336672478326989e-10,3.567771584033718e-10,3.2669640591206664e-10,6.009819539757253e-10,3.6890966604281045e-10,4.778427301084155e-10,4.393024822891549e-10,3.8581332831684646e-10,3.346104958978359e-10,3.0042538349174584e-10,2.947733890135736e-10,3.4089264047946953e-10,3.0945700148346825e-10,3.8142997323818816e-10,3.260303268763863e-10,3.1495879940926844e-10,3.1389737796482093e-10,3.3924712080883766e-10,3.7229835735743606e-10,2.9606798803679407e-10,3.471066032475046e-10,3.383716405138738e-10,3.5420218268747974e-10,3.7470445209621405e-10,3.3431206311217305e-10,4.117359542465182e-10,4.2433997782880384e-10,3.8436640903600125e-10,3.3386959474579945e-10,3.8511800554197935e-10,3.5547867235539857e-10,3.656308097803643e-10,1.2464269801635632e-10,1.2739675477022834e-10,1.3015191362388599e-11,3.369082356468629e-11,2.5895338751861416e-11,1.2941643194500258e-10,1.0054815575401644e-10,2.5185812403582957e-11,2.122807765438066e-10,4.550490931320368e-10,1.0694429809975309e-10,3.6580807145643815e-11
ozone depletion,3.6035737929326626e-11,3.931070300671655e-11,4.5117876082324385e-11,3.6456589665240095e-11,4.555221039295709e-11,3.2144921743606745e-11,3.4669032532187596e-11,5.941370170659507e-11,3.577450361160087e-11,3.4112897049379475e-11,4.5833340976705406e-11,3.979625951042931e-11,5.454893030675029e-11,5.475033941744322e-11,5.020341716883898e-11,5.2940490810138196e-11,6.05457627876173e-11,5.0908262743601534e-11,5.088746589324666e-11,5.609202577935152e-11,4.7490158742005356e-11,5.5033989525680276e-11,5.918250628181897e-11,4.7682281249154234e-11,5.686573998203079e-11,5.987025545395909e-11,3.6503795276182465e-11,6.314752595746132e-11,3.637424454096913e-11,5.5109051852281155e-11,6.614278759265842e-11,5.8068758161252204e-11,4.9425853597901315e-11,2.8193264958796227e-11,5.572643381328212e-11,3.881224921292573e-11,1.0837388325330313e-10,1.0930102697776982e-10,1.0436795664567575e-10,1.1661603514509368e-10,1.2010458045023964e-10,1.0509634297010983e-10,1.0050563081645763e-10,1.0891518814641517e-10,9.994000677664724e-11,1.1961616055849565e-10,1.068735429345319e-10,1.1045622610918176e-10,1.0580464295164114e-10,9.758122148589283e-11,9.627031346506282e-11,1.0849776346730676e-10,1.0012235987595087e-10,1.1985224909694927e-10,1.0501351947824595e-10,1.0197223910691624e-10,1.0091571895658098e-10,1.0770838766242406e-10,1.1657871741387245e-10,9.650447190413795e-11,1.2331516643011167e-10,1.2013648534221697e-10,1.249300919386165e-10,1.3052753853774552e-10,1.1931171436489718e-10,1.4307785275952395e-10,1.4759437008881865e-10,1.3403090329202943e-10,1.1868525339655214e-10,1.3511892111729546e-10,1.2639892143778243e-10,1.2952764148676606e-10,8.102790576812093e-12,4.330515386556052e-11,1.5320426649731423e-12,3.4172923733886542e-12,3.174028832403909e-12,5.4422367953374506e-11,4.589940794186376e-11,6.19362851262606e-12,1.4376426819587131e-11,2.276025743055331e-11,4.458834235737181e-11,1.994434581863528e-11
particulate matter formation,7.133000886621863e-08,8.233107388642546e-08,9.196431629438528e-08,7.191852010908227e-08,6.792873923240343e-08,1.2511432557279232e-07,6.088485226612667e-08,9.62979112994176e-08,7.213709035123918e-08,6.34835685136325e-08,8.232875490708497e-08,7.19155094429e-08,9.172001174149488e-08,9.211874930544902e-08,8.160598681830668e-08,8.775582104042663e-08,1.0484942887706144e-07,8.309325675473047e-08,8.31329149738438e-08,9.49446663432216e-08,7.524764986033049e-08,9.228517947974285e-08,1.0197422775851687e-07,7.565177558203492e-08,5.431577271945342e-08,5.633986492585012e-08,5.558178467181577e-08,6.464806149132139e-08,5.0906438254550374e-08,5.991951571559903e-08,6.650978295756219e-08,5.4211351085145245e-08,5.3023293409396006e-08,5.9231781938195395e-08,5.09999266816125e-08,5.8572648476351244e-08,7.901343840111221e-08,7.903609557838695e-08,8.296321118182721e-08,8.846004403453142e-08,9.239551666245843e-08,8.018854521535636e-08,8.407956308814381e-08,8.000589001482662e-08,9.017920690266169e-08,8.997925275398927e-08,8.56107957694974e-08,7.908338394700033e-08,7.176124979041416e-08,7.065046662455904e-08,6.195249181847839e-08,7.280423983636924e-08,7.113124147065763e-08,8.528301212105806e-08,7.005057835860923e-08,6.72379298680902e-08,7.515302709528037e-08,7.419219021572644e-08,8.248794304394392e-08,7.584978245628135e-08,7.889629962257073e-08,7.955805582790854e-08,8.49395416048951e-08,7.702248344039243e-08,6.778540365242668e-08,8.74310059319091e-08,9.139018705461555e-08,8.143310341774912e-08,8.777403418658642e-08,7.868175531777321e-08,7.290262149804344e-08,7.532693640171676e-08,1.9544733377012252e-08,3.4810314509126364e-08,4.085789701721032e-09,9.261220665892707e-09,8.882615663816916e-09,4.0191449405491765e-08,3.641458329350676e-08,3.4090197732140005e-08,2.616753460910498e-08,2.3247274914371856e-08,2.2187799493662864e-08,1.8797845360944318e-08
photochemical oxidant formation,2.8296635977449718e-08,3.2787927842563474e-08,3.5316225593252055e-08,2.7089727652274343e-08,2.8789426268291582e-08,4.281525614277979e-08,2.6612781510079533e-08,4.062692854955803e-08,2.9636825225187785e-08,2.5509408745204213e-08,3.377666216582671e-08,2.8812597522683295e-08,4.561721822511845e-08,4.591179452377383e-08,4.015596737507955e-08,4.3464481248913505e-08,5.252652112429103e-08,4.09577798432603e-08,4.0955924678094875e-08,4.740474009749285e-08,3.672795543000268e-08,4.5782298766848595e-08,5.101285896037201e-08,3.6912488811574834e-08,2.392265643283376e-08,2.4963767411470745e-08,2.313788232053546e-08,2.8400576347587647e-08,2.1373381052211006e-08,2.6108369754032584e-08,2.9295650665319655e-08,2.3975784670591726e-08,2.299876360950101e-08,2.4117516314923087e-08,2.2590465160173942e-08,2.4547649253582917e-08,3.973979865239828e-08,3.9976562746974984e-08,4.6126855487354717e-08,4.531724474704139e-08,4.7224956689206966e-08,4.484027902390338e-08,5.0077846701159697e-08,4.082236421744575e-08,4.181541670794896e-08,4.583434400789523e-08,4.537320865470222e-08,4.01720270001881e-08,3.693138692558346e-08,4.031400334159875e-08,3.245568199889472e-08,3.7604374738465436e-08,3.973882386094794e-08,4.452718324249765e-08,3.632536480407314e-08,3.502743719338596e-08,4.285927868541132e-08,3.891798667523993e-08,4.258658063521029e-08,4.61956604866132e-08,4.6189467544292305e-08,4.759962189653127e-08,5.0956376113177694e-08,4.0801099217231576e-08,3.651965069107794e-08,4.669194329331872e-08,4.945044516755221e-08,4.405134876974612e-08,5.6415938108674725e-08,4.189135207602028e-08,3.915652673375421e-08,4.0294369062886954e-08,1.1478709419227613e-08,2.3448880234874625e-08,1.867594165942617e-09,3.999146544057692e-09,3.851444584141364e-09,3.6318028164333633e-08,3.3699269316862306e-08,9.708818563505702e-09,1.4632248968801143e-08,1.0758164221761369e-08,1.335825606908877e-08,1.1025440429564941e-08
